departamento,municipio,zona_geografica,tipo_comunidad,altitud_msnm,poblacion_total,menores_5,adultos_mayores,gestantes,personas_discapacidad,distancia_km,tiempo_acceso_min,acceso_vial,transporte_disponible,agua_potable,alcantarillado,puesto_salud_cercano,cobertura_salud_pct,cobertura_vacunacion_pct,casos_prioritarios_30d,enfermedades_cronicas,alerta_epidemiologica,ultima_brigada_dias,brigadas_ultimos_12m,demanda_insatisfecha_pct,conectividad,temporada,riesgo_inundacion,riesgo_deslizamiento,prioridad
Santander,Coromoro,Andina,Indígena,1430,266,36,22,4,6,6.34,13.77,Difícil,Limitado,0,0,1,74.92,60.35,1,32,0,313,0,41.15,Buena,Lluvias,0.27,0.54,MEDIA
Bolívar,Simití,Caribe,Rural,197,503,89,26,12,38,14.34,23.16,Regular,Limitado,1,1,0,82.42,67.71,0,33,1,4,2,28.12,Baja,Lluvias,0.58,0.22,BAJA
Boyacá,Güicán,Andina,Rural dispersa,2860,490,73,50,24,11,92.41,252.09,Regular,Terrestre,1,0,0,76.91,57.64,3,50,0,0,1,31.95,Baja,Lluvias,0.08,0.48,ALTA
Cauca,Caloto,Andina,Indígena,1898,190,22,24,9,12,22.63,29.79,Difícil,Terrestre + 4x4,0,0,0,67.37,78.32,1,19,0,58,1,51.06,Sin conexión,Seca,0.31,0.59,MEDIA
Meta,Cumaral,Orinoquía,Indígena,312,283,29,46,5,13,60.14,133.73,Difícil,Terrestre,0,0,0,64.78,53.02,0,49,0,133,0,33.24,Buena,Seca,0.37,0.35,ALTA
Tolima,Alvarado,Andina,Rural dispersa,743,298,54,31,7,17,27.01,50.62,Regular,Terrestre,1,1,0,57.46,73.46,1,16,0,234,0,34.95,Baja,Seca,0.45,0.55,ALTA
Santander,Matanza,Andina,Afrodescendiente,1175,479,80,63,6,36,32.72,54.27,Muy difícil,Terrestre,0,0,0,47.89,78.09,2,82,0,397,1,29.58,Regular,Seca,0.38,0.65,CRÍTICA
Tolima,Ambalema,Andina,Campesina,748,72,12,7,1,1,79.34,101.92,Muy difícil,Limitado,0,0,0,98.0,60.03,3,6,0,89,0,26.42,Baja,Seca,0.39,0.52,CRÍTICA
Nariño,Colón,Andina,Indígena,2942,492,97,30,14,9,30.62,43.9,Regular,Terrestre + 4x4,1,1,0,71.55,68.4,2,88,1,41,1,55.22,Baja,Lluvias,0.29,0.65,MEDIA
Tolima,El Espinal,Andina,Rural dispersa,831,160,16,25,1,4,19.67,33.34,Regular,Limitado,0,0,0,62.82,62.67,0,15,0,11,2,22.17,Buena,Transición,0.24,0.65,BAJA
Antioquia,Olaya,Andina,Rural dispersa,1345,237,42,35,8,18,55.97,222.49,Muy difícil,Limitado,0,0,0,54.09,65.47,1,15,0,103,1,42.29,Buena,Lluvias,0.15,0.53,CRÍTICA
Cauca,Piamonte,Andina,Afrodescendiente,1450,298,55,27,11,14,153.07,177.25,Muy difícil,Terrestre,1,1,0,76.9,71.5,0,13,0,33,0,45.76,Buena,Transición,0.21,0.48,MEDIA
Santander,San Gil,Andina,Campesina,1267,162,22,17,1,10,60.75,162.03,Difícil,Limitado,1,0,0,79.7,79.45,1,17,0,329,0,67.77,Regular,Lluvias,0.42,0.56,ALTA
Sucre,San Marcos,Caribe,Indígena,145,482,60,47,8,25,44.53,87.71,Regular,Limitado,0,0,0,69.98,49.59,2,70,0,201,1,38.49,Buena,Lluvias,0.57,0.19,ALTA
Norte de Santander,Lourdes,Andina,Rural dispersa,1853,349,35,52,11,11,34.88,50.53,Bueno,Limitado,1,0,0,64.59,83.96,0,56,0,439,2,41.27,Baja,Lluvias,0.27,0.55,ALTA
Chocó,Río Quito,Pacífica,Indígena,0,391,36,39,18,23,13.33,33.28,Bueno,Fluvial + Terrestre,0,0,1,53.7,25.0,1,41,0,376,1,38.29,Regular,Transición,0.47,0.45,ALTA
Risaralda,Dosquebradas,Andina,Indígena,1641,142,19,17,4,3,74.96,134.64,Muy difícil,Limitado,0,0,0,96.8,81.89,1,23,0,143,1,35.52,Buena,Transición,0.06,0.44,CRÍTICA
Antioquia,Anzá,Andina,Campesina,1853,442,49,26,12,15,47.84,75.7,Muy difícil,Limitado,0,1,0,83.94,57.44,1,78,0,107,1,49.86,Regular,Seca,0.23,0.42,ALTA
Nariño,La Florida,Andina,Afrodescendiente,2028,224,21,23,3,13,33.41,49.12,Regular,Limitado,0,0,0,62.92,56.86,0,32,0,96,1,33.28,Regular,Lluvias,0.36,0.54,MEDIA
Caquetá,Morelia,Amazonía,Afrodescendiente,470,307,40,23,6,14,74.19,171.6,Regular,Fluvial,1,0,0,60.45,78.7,0,50,0,536,1,21.34,Baja,Lluvias,0.48,0.33,ALTA
Santander,Palmar,Andina,Rural dispersa,967,227,23,12,5,6,18.32,31.04,Bueno,Terrestre,0,0,1,69.35,55.82,0,10,0,74,1,29.3,Regular,Lluvias,0.17,0.58,BAJA
Caquetá,Solita,Amazonía,Rural,385,420,72,55,8,16,33.05,115.72,Difícil,Limitado,0,0,0,61.7,62.65,1,23,0,189,2,9.41,Regular,Lluvias,0.33,0.42,ALTA
Cesar,San Diego,Caribe,Rural,335,550,103,27,20,25,28.61,54.78,Muy difícil,Limitado,1,0,0,73.85,72.86,2,93,0,730,0,32.22,Baja,Seca,0.35,0.27,ALTA
Huila,Agrado,Andina,Indígena,1290,301,38,25,13,21,12.95,16.24,Regular,Limitado,1,0,1,73.21,76.09,0,39,0,8,1,49.53,Baja,Seca,0.28,0.58,MEDIA
Boyacá,Socotá,Andina,Rural dispersa,2244,229,29,21,11,6,12.4,39.83,Bueno,Terrestre + 4x4,1,0,1,80.38,79.89,0,16,1,117,2,49.45,Sin conexión,Lluvias,0.28,0.53,BAJA
Valle del Cauca,Restrepo,Andina,Campesina,1635,335,30,17,6,15,36.19,76.06,Regular,Terrestre + 4x4,1,0,0,69.54,55.71,1,15,0,129,2,23.31,Baja,Lluvias,0.4,0.41,MEDIA
Sucre,San Antonio de Palmito,Caribe,Afrodescendiente,0,1326,277,102,50,61,39.86,146.62,Bueno,Terrestre,0,0,0,63.42,91.15,3,167,1,151,2,68.4,Sin conexión,Lluvias,0.53,0.13,CRÍTICA
Antioquia,Guarne,Andina,Rural,1661,58,10,5,0,4,25.44,35.03,Regular,Limitado,0,0,0,72.62,64.2,0,2,0,42,1,7.24,Baja,Transición,0.18,0.53,BAJA
Córdoba,Chinú,Caribe,Afrodescendiente,157,184,21,31,7,4,52.76,86.94,Regular,Terrestre,1,0,0,69.09,67.1,1,10,0,355,2,42.93,Regular,Transición,0.41,0.44,ALTA
Atlántico,Sabanagrande,Caribe,Afrodescendiente,147,839,158,136,9,25,32.85,45.68,Bueno,Terrestre,0,0,0,72.48,56.07,5,105,0,21,1,44.76,Baja,Lluvias,0.47,0.09,ALTA
Cundinamarca,Pacho,Andina,Rural dispersa,2998,498,100,77,21,5,23.1,26.07,Difícil,Limitado,0,0,0,98.0,75.87,1,70,0,81,1,60.48,Baja,Transición,0.28,0.44,MEDIA
Huila,Acevedo,Andina,Rural dispersa,1159,244,43,38,2,12,11.05,14.44,Bueno,Terrestre,1,0,1,57.79,47.06,1,36,1,7,5,36.35,Buena,Lluvias,0.34,0.4,MEDIA
Córdoba,Puerto Escondido,Caribe,Rural dispersa,128,106,20,12,5,2,25.33,39.71,Difícil,Limitado,1,0,0,70.48,76.42,0,6,0,53,2,31.56,Buena,Transición,0.46,0.23,MEDIA
Chocó,Bagadó,Pacífica,Rural,120,1004,93,113,13,15,70.25,169.34,Difícil,Fluvial + Terrestre,1,0,0,78.63,67.59,3,63,0,41,1,11.64,Baja,Seca,0.57,0.37,ALTA
Tolima,Coello,Andina,Campesina,1001,174,34,22,7,9,30.91,37.76,Regular,Terrestre,1,0,0,98.0,82.1,1,30,0,158,1,4.86,Regular,Lluvias,0.32,0.5,MEDIA
Guaviare,Miraflores,Amazonía,Rural,443,381,35,41,17,15,56.76,132.43,Regular,Limitado,1,0,0,59.82,75.14,0,32,1,124,1,42.33,Baja,Seca,0.31,0.04,ALTA
Antioquia,Murindó,Andina,Rural dispersa,1854,221,29,17,3,3,10.47,18.76,Bueno,Terrestre + 4x4,1,0,1,66.33,72.78,0,31,0,389,0,42.2,Baja,Transición,0.39,0.53,BAJA
Sucre,Sincé,Caribe,Campesina,27,755,87,43,29,48,26.02,61.91,Difícil,Terrestre,0,1,0,61.35,97.94,1,62,0,189,0,52.41,Baja,Lluvias,0.61,0.2,MEDIA
Atlántico,Candelaria,Caribe,Indígena,52,2089,291,298,86,81,54.5,68.87,Difícil,No disponible,1,0,0,85.51,74.63,5,331,0,50,1,48.75,Regular,Seca,0.56,0.05,ALTA
Santander,Zapatoca,Andina,Campesina,887,888,117,105,41,70,35.87,86.75,Bueno,Terrestre,1,1,0,61.89,66.22,4,119,0,50,1,41.79,Regular,Lluvias,0.21,0.55,ALTA
Boyacá,Sotaquirá,Andina,Rural dispersa,3302,272,27,22,6,13,30.9,60.69,Difícil,Terrestre,0,0,0,77.17,47.62,1,32,0,231,1,17.07,Regular,Lluvias,0.31,0.47,MEDIA
La Guajira,Fonseca,Caribe,Indígena,135,340,43,17,7,16,30.34,78.5,Regular,Limitado,0,0,0,68.13,78.24,1,36,0,14,2,14.7,Regular,Lluvias,0.1,0.11,BAJA
Magdalena,Remolino,Caribe,Indígena,208,2743,259,297,83,210,43.76,88.5,Muy difícil,Limitado,0,0,0,69.95,90.71,5,382,0,343,0,35.28,Regular,Lluvias,0.48,0.47,CRÍTICA
Antioquia,Gómez Plata,Andina,Campesina,1966,706,138,55,30,30,55.21,83.9,Bueno,Terrestre + 4x4,0,0,0,67.87,48.12,1,95,0,174,0,29.72,Regular,Lluvias,0.39,0.56,CRÍTICA
Santander,El Peñón,Andina,Campesina,948,387,33,23,8,26,41.22,87.43,Muy difícil,Limitado,1,1,0,87.4,69.9,0,47,0,0,0,35.74,Baja,Transición,0.37,0.47,ALTA
Magdalena,Aracataca,Caribe,Rural dispersa,237,290,53,21,14,14,26.06,28.94,Regular,Terrestre,0,0,0,68.52,54.07,2,21,0,118,1,64.32,Baja,Transición,0.37,0.41,ALTA
Caldas,Marulanda,Andina,Rural dispersa,2398,781,171,43,33,8,21.19,57.25,Regular,Limitado,0,0,0,53.65,59.34,2,71,0,39,2,46.38,Buena,Transición,0.3,0.37,MEDIA
Caldas,Manzanares,Andina,Indígena,1984,402,61,52,9,31,25.43,32.27,Regular,No disponible,0,0,0,63.55,53.79,2,44,0,72,2,46.06,Regular,Seca,0.23,0.52,MEDIA
Magdalena,Nueva Granada,Caribe,Indígena,209,332,27,26,8,14,22.27,52.87,Regular,Terrestre,0,0,0,82.77,56.15,0,58,0,248,2,27.99,Baja,Lluvias,0.37,0.49,MEDIA
Atlántico,Galapa,Caribe,Rural dispersa,72,198,18,11,6,7,26.25,36.69,Regular,Motocicleta,0,0,0,65.57,86.9,1,14,0,132,2,16.59,Regular,Lluvias,0.42,0.09,MEDIA
Boyacá,Tota,Andina,Rural dispersa,3789,284,44,28,8,5,22.03,24.75,Regular,No disponible,1,0,0,83.31,57.76,2,46,0,272,1,41.23,Regular,Transición,0.32,0.49,ALTA
Norte de Santander,Sardinata,Andina,Rural dispersa,1419,521,104,90,16,16,9.11,13.77,Regular,No disponible,0,0,1,71.27,93.46,1,59,0,81,1,21.58,Regular,Transición,0.32,0.54,BAJA
Antioquia,Ciudad Bolívar,Andina,Rural,1756,312,28,47,4,18,14.42,31.0,Bueno,Terrestre,0,0,1,90.31,40.43,0,16,0,129,1,30.77,Baja,Lluvias,0.33,0.38,MEDIA
Cundinamarca,Cota,Andina,Rural,2537,419,79,75,12,14,29.32,36.04,Regular,Terrestre,0,1,0,57.73,89.37,1,74,0,451,2,13.4,Regular,Seca,0.22,0.5,MEDIA
Nariño,Ricaurte,Andina,Indígena,2733,138,14,15,2,6,11.46,38.15,Muy difícil,No disponible,0,0,0,78.28,81.2,0,24,0,730,1,39.78,Buena,Transición,0.34,0.55,MEDIA
Valle del Cauca,Calima,Andina,Afrodescendiente,1630,275,50,49,2,11,59.87,89.96,Muy difícil,Terrestre + 4x4,0,0,0,88.99,63.5,2,44,0,92,2,34.99,Regular,Lluvias,0.48,0.37,ALTA
Santander,Macaravita,Andina,Campesina,1292,310,64,45,4,21,44.12,61.12,Regular,Limitado,0,0,0,75.74,52.32,1,55,0,558,3,28.58,Regular,Transición,0.33,0.42,ALTA
Antioquia,Cisneros,Andina,Rural dispersa,1655,261,25,35,3,6,17.21,21.81,Regular,Motocicleta,1,0,0,93.05,49.86,2,11,0,51,2,38.6,Regular,Lluvias,0.26,0.3,MEDIA
Antioquia,Támesis,Andina,Campesina,2013,173,22,25,4,6,31.4,94.97,Regular,No disponible,0,0,0,83.94,75.6,1,13,0,483,1,18.72,Buena,Seca,0.32,0.33,ALTA
Cundinamarca,Tibacuy,Andina,Rural dispersa,2900,1142,184,196,37,21,39.54,53.18,Regular,Terrestre + 4x4,1,0,0,69.37,75.7,3,63,0,6,2,26.54,Regular,Lluvias,0.24,0.56,MEDIA
Cesar,La Gloria (Cesar),Caribe,Rural,239,562,121,79,26,40,16.04,51.31,Bueno,Terrestre,0,0,1,83.4,63.38,2,52,0,47,2,27.98,Sin conexión,Lluvias,0.26,0.35,BAJA
Santander,Santa Bárbara,Andina,Campesina,1252,169,27,17,2,13,36.31,60.39,Difícil,Limitado,1,1,0,73.32,81.62,0,18,0,77,2,60.68,Buena,Transición,0.19,0.59,MEDIA
Norte de Santander,Chinácota,Andina,Campesina,1495,899,158,68,11,56,26.04,91.94,Regular,Terrestre,1,1,0,90.44,41.21,5,134,1,138,3,22.23,Buena,Seca,0.36,0.47,CRÍTICA
Bolívar,Tiquisio,Caribe,Rural dispersa,124,233,46,39,7,7,117.18,407.31,Regular,Terrestre,1,1,0,78.99,94.88,2,30,0,195,4,50.77,Regular,Seca,0.46,0.07,CRÍTICA
Antioquia,San Pedro de Urabá,Andina,Rural,1574,170,16,23,7,9,83.76,99.75,Regular,Limitado,1,1,0,70.45,80.55,1,11,0,220,1,30.08,Regular,Seca,0.15,0.44,ALTA
Bolívar,Córdoba,Caribe,Campesina,189,264,25,39,10,17,53.41,59.48,Regular,Motocicleta,1,1,0,57.12,43.96,1,44,1,433,1,56.3,Sin conexión,Lluvias,0.54,0.21,CRÍTICA
Santander,Palmar,Andina,Rural dispersa,1148,1019,196,74,12,70,17.48,24.94,Bueno,Terrestre,0,0,1,67.31,55.41,1,121,0,69,0,27.31,Baja,Seca,0.12,0.48,MEDIA
Cundinamarca,Cabrera,Andina,Campesina,1888,206,30,10,2,11,39.01,44.66,Regular,Terrestre,1,0,0,53.68,79.53,0,10,1,277,1,51.03,Buena,Transición,0.45,0.43,MEDIA
Caldas,Supía,Andina,Rural dispersa,2035,109,9,6,3,5,44.57,49.88,Regular,Limitado,0,1,0,87.81,73.62,1,17,1,106,1,33.65,Baja,Seca,0.21,0.46,ALTA
Norte de Santander,Chinácota,Andina,Campesina,1147,155,18,12,5,5,15.49,33.38,Regular,Terrestre,1,0,0,66.61,79.23,3,12,0,314,2,23.84,Baja,Seca,0.39,0.29,MEDIA
Cundinamarca,Chaguaní,Andina,Campesina,2259,169,28,20,4,7,19.76,39.45,Bueno,Terrestre + 4x4,0,1,1,88.93,78.76,0,8,0,26,2,34.42,Sin conexión,Lluvias,0.26,0.42,BAJA
Antioquia,Ituango,Andina,Afrodescendiente,1787,240,20,37,6,17,9.71,16.28,Difícil,Terrestre + 4x4,0,1,1,81.65,68.16,1,11,0,727,1,49.26,Buena,Lluvias,0.3,0.47,MEDIA
Cesar,Agustín Codazzi,Caribe,Rural dispersa,286,1126,138,179,47,64,7.96,12.4,Difícil,Terrestre,0,0,1,80.29,69.33,4,193,0,218,2,31.33,Buena,Transición,0.32,0.27,ALTA
Chocó,Riosucio,Pacífica,Afrodescendiente,133,1039,221,97,50,61,18.08,51.25,Muy difícil,Fluvial + Terrestre,1,1,0,64.81,95.29,2,142,0,138,0,51.21,Baja,Transición,0.62,0.29,ALTA
Amazonas,Leticia,Amazonía,Rural,110,417,68,24,8,31,20.3,75.23,Regular,Fluvial + Terrestre,1,1,0,50.9,73.23,0,57,0,124,1,9.25,Regular,Seca,0.52,0.03,BAJA
La Guajira,Uribia,Caribe,Indígena,111,504,82,73,24,5,66.83,91.21,Muy difícil,Terrestre,1,0,0,66.48,65.71,1,58,0,386,1,60.81,Regular,Lluvias,0.37,0.11,CRÍTICA
Nariño,Puerres,Andina,Campesina,1786,499,74,60,19,22,27.16,35.01,Bueno,Terrestre + 4x4,1,1,0,72.14,80.7,1,83,0,85,2,34.87,Baja,Lluvias,0.35,0.49,MEDIA
Magdalena,Santa Marta,Caribe,Campesina,204,673,147,43,14,41,33.72,39.4,Difícil,Terrestre,0,0,0,60.15,97.76,1,83,0,273,0,50.53,Baja,Seca,0.43,0.41,MEDIA
Caldas,Anserma,Andina,Rural dispersa,2375,192,40,31,5,12,10.84,42.64,Muy difícil,No disponible,1,0,1,70.35,56.14,0,24,0,163,2,37.7,Regular,Lluvias,0.2,0.39,MEDIA
Antioquia,Urrao,Andina,Afrodescendiente,2168,270,33,34,12,10,15.28,35.55,Regular,Terrestre,0,0,1,98.0,83.09,1,33,0,343,4,56.99,Regular,Seca,0.23,0.35,MEDIA
Santander,Málaga,Andina,Afrodescendiente,1263,179,31,23,7,10,17.87,21.87,Bueno,Terrestre,1,0,0,79.44,92.98,1,12,0,54,3,17.19,Baja,Lluvias,0.43,0.46,BAJA
Nariño,Yacuanquer,Andina,Rural dispersa,2432,93,15,12,2,1,8.19,17.24,Bueno,Terrestre + 4x4,1,0,1,65.55,45.91,1,15,0,62,0,34.49,Regular,Lluvias,0.27,0.47,MEDIA
Putumayo,Puerto Leguízamo,Amazonía,Afrodescendiente,970,243,40,20,6,2,8.81,30.64,Bueno,No disponible,1,0,0,72.72,68.02,1,21,0,16,3,10.82,Regular,Transición,0.39,0.32,BAJA
Córdoba,Montería,Caribe,Indígena,201,201,21,23,5,15,36.22,48.45,Regular,Limitado,1,0,0,75.11,98.0,1,8,0,156,3,48.98,Buena,Transición,0.43,0.32,MEDIA
Boyacá,Cubará,Andina,Campesina,2613,644,113,62,11,38,54.9,69.16,Regular,Terrestre + 4x4,0,1,0,72.33,82.97,0,78,0,72,2,48.73,Baja,Lluvias,0.28,0.61,MEDIA
Atlántico,Puerto Colombia,Caribe,Indígena,0,442,68,35,16,17,25.23,43.14,Bueno,Terrestre,1,1,0,67.94,97.95,0,77,0,29,2,32.75,Buena,Seca,0.46,0.0,BAJA
Santander,Valle de San José,Andina,Rural,1096,183,15,15,3,7,42.79,50.63,Regular,Limitado,1,0,0,63.81,55.03,1,25,0,3,0,26.79,Regular,Seca,0.45,0.61,MEDIA
Nariño,La Tola,Andina,Rural dispersa,2884,580,56,45,10,26,45.88,93.38,Difícil,Terrestre,1,0,0,76.5,76.47,2,36,0,54,1,51.55,Regular,Transición,0.32,0.48,MEDIA
Antioquia,Belmira,Andina,Rural,1653,119,10,15,4,5,26.27,34.11,Regular,Limitado,1,0,0,72.88,73.55,0,21,0,287,2,37.53,Regular,Lluvias,0.38,0.45,ALTA
Norte de Santander,Puerto Santander,Andina,Rural dispersa,1532,1311,148,116,49,31,45.29,81.23,Muy difícil,Limitado,0,0,0,64.63,73.59,4,145,0,9,1,22.25,Regular,Transición,0.37,0.51,ALTA
Antioquia,Buriticá,Andina,Rural dispersa,2192,238,41,27,6,14,11.09,31.82,Regular,Terrestre,1,0,0,67.74,62.33,0,25,0,168,1,56.27,Baja,Lluvias,0.37,0.36,MEDIA
Cesar,San Alberto,Caribe,Indígena,193,510,59,74,17,29,48.0,89.04,Regular,Terrestre,1,1,0,87.58,50.18,0,46,0,42,5,40.39,Baja,Seca,0.27,0.34,MEDIA
Chocó,Río Iró,Pacífica,Afrodescendiente,141,180,26,30,4,4,11.36,23.1,Regular,Fluvial + Terrestre,0,0,0,67.04,55.24,1,22,0,44,0,2.0,Sin conexión,Lluvias,0.59,0.4,MEDIA
Boyacá,Motavita,Andina,Indígena,2691,1359,283,165,52,102,33.02,90.7,Regular,No disponible,0,0,0,82.4,81.32,4,193,0,400,1,37.77,Buena,Transición,0.12,0.51,CRÍTICA
Magdalena,Concordia,Caribe,Rural dispersa,317,193,37,24,3,10,68.08,143.36,Bueno,No disponible,0,0,0,70.36,46.22,2,19,1,97,1,45.71,Sin conexión,Lluvias,0.3,0.24,CRÍTICA
Sucre,San Marcos,Caribe,Afrodescendiente,86,508,81,75,25,21,21.75,26.99,Regular,Terrestre,1,0,0,85.65,64.1,1,41,0,41,2,13.05,Regular,Transición,0.69,0.16,BAJA
La Guajira,Albania,Caribe,Indígena,169,78,8,12,2,2,62.79,217.79,Muy difícil,Limitado,0,0,0,75.78,36.62,0,12,0,288,0,51.31,Baja,Lluvias,0.35,0.28,CRÍTICA
Cundinamarca,Villeta,Andina,Rural,3077,238,50,38,10,6,19.9,55.16,Bueno,Terrestre,0,0,0,77.8,59.13,0,26,0,6,1,45.62,Baja,Transición,0.19,0.38,MEDIA
Tolima,Ataco,Andina,Rural dispersa,597,297,59,33,3,15,46.68,120.86,Difícil,No disponible,1,0,0,79.18,57.51,0,17,0,450,3,64.84,Regular,Lluvias,0.36,0.51,ALTA
Atlántico,Puerto Colombia,Caribe,Afrodescendiente,0,627,58,82,26,25,45.07,58.29,Bueno,Terrestre,1,0,0,77.55,91.44,2,29,0,207,2,2.0,Buena,Lluvias,0.36,0.1,MEDIA
Arauca,Saravena,Orinoquía,Rural dispersa,254,105,17,9,3,1,20.89,34.94,Regular,No disponible,0,0,0,65.16,81.53,1,16,0,60,1,33.28,Baja,Transición,0.42,0.1,MEDIA
Nariño,San Pedro de Cartago,Andina,Rural,2002,457,56,55,10,24,40.27,104.8,Muy difícil,Terrestre,1,0,0,90.49,74.15,3,59,0,207,0,61.78,Baja,Transición,0.34,0.56,CRÍTICA
Boyacá,Campohermoso,Andina,Afrodescendiente,3086,164,17,24,8,12,47.6,107.15,Muy difícil,No disponible,1,1,0,85.47,59.04,1,22,0,32,2,28.28,Buena,Transición,0.25,0.48,CRÍTICA
Chocó,Sipí,Pacífica,Indígena,189,578,111,74,7,7,59.84,314.41,Difícil,No disponible,1,0,0,67.47,64.69,2,40,0,342,0,37.68,Regular,Seca,0.54,0.39,CRÍTICA
Huila,Gigante,Andina,Rural dispersa,982,1373,280,171,16,19,29.97,61.94,Regular,Terrestre,1,0,0,80.1,94.63,5,163,0,20,2,40.9,Baja,Lluvias,0.43,0.31,MEDIA
Antioquia,Cocorná,Andina,Rural dispersa,1569,81,6,11,1,1,73.66,240.21,Difícil,No disponible,1,0,0,65.09,76.83,0,7,1,80,1,47.68,Buena,Seca,0.13,0.62,CRÍTICA
Norte de Santander,Santo Domingo de Silos,Andina,Rural dispersa,1941,523,51,92,24,29,46.03,92.54,Regular,Terrestre,1,0,0,76.21,90.95,0,77,0,110,2,34.18,Buena,Lluvias,0.27,0.49,MEDIA
Cesar,Pueblo Bello,Caribe,Rural,496,50,10,2,2,2,66.37,131.12,Regular,Terrestre,1,1,0,82.07,48.15,1,5,0,56,0,34.94,Sin conexión,Seca,0.19,0.52,ALTA
Huila,Suaza,Andina,Rural,1213,2027,324,153,93,76,44.95,120.42,Regular,Terrestre,0,1,0,50.58,36.19,4,151,0,336,0,37.03,Baja,Lluvias,0.3,0.41,CRÍTICA
Huila,Oporapa,Andina,Indígena,858,330,65,57,13,5,70.93,119.44,Muy difícil,No disponible,1,0,0,64.01,51.83,0,33,0,243,0,36.33,Regular,Transición,0.34,0.48,CRÍTICA
Boyacá,Tinjacá,Andina,Afrodescendiente,4128,1313,148,74,39,94,16.01,17.63,Difícil,Terrestre + 4x4,0,0,1,70.62,60.07,1,223,0,129,0,74.16,Baja,Seca,0.22,0.45,ALTA
Atlántico,Palmar de Varela,Caribe,Rural dispersa,0,1131,180,119,41,40,5.98,16.26,Regular,Terrestre,1,0,1,78.56,93.73,1,116,0,41,0,9.38,Baja,Seca,0.39,0.18,BAJA
Santander,Jesús María,Andina,Indígena,1044,185,38,25,1,2,56.24,172.37,Difícil,No disponible,1,0,0,90.73,64.92,1,28,0,27,2,26.5,Buena,Seca,0.49,0.33,ALTA
Nariño,Mallama,Andina,Rural,2482,1345,272,129,20,31,23.25,73.03,Regular,Terrestre,0,1,0,55.8,90.14,3,234,0,31,1,32.47,Baja,Lluvias,0.24,0.57,MEDIA
Casanare,Pore,Orinoquía,Rural,281,904,147,118,32,44,3.62,5.72,Difícil,Terrestre,1,0,0,58.63,76.62,4,121,1,665,0,23.55,Baja,Seca,0.46,0.18,CRÍTICA
Casanare,Tauramena,Orinoquía,Indígena,325,485,88,45,19,11,12.31,29.58,Bueno,Terrestre,0,0,0,65.39,52.89,2,21,0,77,2,16.0,Baja,Lluvias,0.24,0.02,MEDIA
Nariño,Leiva,Andina,Indígena,1977,154,15,20,3,6,19.39,23.81,Muy difícil,Limitado,0,0,0,60.68,81.44,0,23,0,49,0,36.5,Baja,Seca,0.31,0.47,MEDIA
Tolima,Guamo,Andina,Indígena,754,288,41,34,12,5,22.2,48.32,Bueno,Terrestre + 4x4,0,0,0,73.86,46.55,0,46,0,92,1,17.81,Buena,Seca,0.27,0.66,MEDIA
Norte de Santander,Gramalote,Andina,Campesina,1469,88,10,6,2,1,22.15,60.84,Bueno,Terrestre + 4x4,1,1,0,85.05,75.38,0,14,0,227,2,44.31,Regular,Lluvias,0.37,0.52,BAJA
Caldas,Victoria,Andina,Rural dispersa,1427,271,43,41,9,8,11.11,12.79,Bueno,Terrestre,0,0,0,54.88,49.64,0,30,0,218,5,44.03,Sin conexión,Lluvias,0.13,0.44,MEDIA
Cauca,Buenos Aires,Andina,Indígena,1675,96,15,14,3,1,67.19,98.95,Muy difícil,No disponible,1,0,0,75.86,49.73,3,3,0,293,1,45.61,Baja,Lluvias,0.39,0.54,CRÍTICA
Santander,Tona,Andina,Rural dispersa,1409,367,39,59,16,14,17.87,68.36,Regular,Terrestre,0,0,1,71.93,67.87,1,56,1,102,2,43.38,Baja,Transición,0.25,0.6,MEDIA
Meta,El Castillo,Orinoquía,Afrodescendiente,416,467,38,46,18,30,78.13,172.89,Difícil,No disponible,1,0,0,64.33,66.72,0,53,0,209,0,25.17,Regular,Transición,0.35,0.18,CRÍTICA
Nariño,Los Andes,Andina,Rural,2206,370,40,28,7,19,22.05,44.35,Difícil,Limitado,0,1,0,92.53,63.63,3,48,0,146,0,38.82,Buena,Lluvias,0.34,0.65,ALTA
Nariño,Chachagüí,Andina,Rural,1824,1577,140,134,74,19,10.43,23.32,Difícil,Terrestre,1,0,0,86.03,69.05,1,273,0,164,0,43.09,Regular,Seca,0.28,0.44,MEDIA
Nariño,Tumaco,Andina,Campesina,2606,312,62,33,3,18,20.56,57.69,Difícil,Terrestre + 4x4,0,0,0,74.76,69.55,0,38,0,133,1,32.55,Baja,Seca,0.26,0.52,MEDIA
Antioquia,Cañasgordas,Andina,Rural dispersa,1217,204,37,11,7,5,75.53,125.85,Difícil,No disponible,0,0,0,57.17,75.71,0,23,0,301,1,53.0,Regular,Lluvias,0.22,0.33,CRÍTICA
Cundinamarca,Vergara,Andina,Campesina,2998,127,15,16,3,3,18.95,22.63,Regular,Limitado,0,0,0,65.4,86.33,1,13,0,271,1,25.97,Buena,Lluvias,0.22,0.52,MEDIA
Santander,Puerto Wilches,Andina,Rural dispersa,1546,214,23,30,9,5,48.15,78.69,Regular,No disponible,1,0,0,75.96,77.76,0,23,0,185,1,27.71,Baja,Lluvias,0.35,0.45,ALTA
